Fecha,Estacion,Compañia,Litros,Costo por Litro
2024/01/01 21:19:33,TUGASOLINERA VALLE ALTO,GRUPO ESCOSERRA,68.74,22.67
2024/01/01 20:49:33,SERVICIO ESCOSERRA DEL LIBRAMIENTO,LAMINAS PLASTICAS Y COMPLEMENTOS,58.869,22.99
2024/01/01 19:30:55,SERVICIO ESCOSERRA EL TREBOL,AC1 CULIACAN,10.879,22.98
2024/01/01 18:40:07,PETROECONOMIC,EDUCACION INICIAL EL ENCANTO,72.01,24.72
2024/01/01 18:17:14,PETROECONOMIC,EDUCACION INICIAL EL ENCANTO,42.854,24.72
2024/01/01 18:08:07,PETROECONOMIC,GOVALSA CONSTRUCCIONES,43.099,24.72
2024/01/01 17:20:43,ERA TECH COMBUSTIBLES,AGROVEGGIE,21.061,24.69
2024/01/01 17:03:09,ERA TECH COMBUSTIBLES,EMPRESAS MATCO,44.2,24.72
2024/01/01 15:49:43,PETROECONOMIC,AGROESPECIALIDADES AMVEG,32.453,24.72
2024/01/01 14:14:35,PETROECONOMIC,MATERIALES AGRICOLAS EL YAUCO,23.223,21.53
2024/01/01 14:13:31,AUTO SERVICIO LA PIEDRERA,RED ESCOSERRA,28.065,24.94
2024/01/01 13:09:50,SERVICIO ESCOSERRA EL TREBOL,AC1 CULIACAN,10.879,22.98
2024/01/01 13:08:37,SERVICIO ESCOSERRA LOS OLIVOS  (GANADERA),SERVICIO ESCOSERRA,44.701,24.91
2024/01/01 12:28:32,SERVICIO ESCOSERRA LOS OLIVOS  (GANADERA),AC1 CULIACAN,11.028,22.67
2024/01/01 11:27:31,SERVICIO ESCOSERRA EL TREBOL,AC1 CULIACAN,65.274,22.98
2024/01/01 10:59:50,SERVICIO ESCOSERRA,EDUCACION INICIAL EL ENCANTO,63.102,22.67
2024/01/01 09:39:15,PETROECONOMIC,GRUPO ESCOSERRA,84.927,21.53
2024/01/01 08:09:48,SERVICIO ESCOSERRA LOS OLIVOS  (GANADERA),AC1 CULIACAN,11.028,22.67
2024/01/01 07:49:58,BESIKTAS ACAYA,ZAIDA GUADALUPE FLORES VIZCARRA,36.833,24.99
2024/01/01 07:14:27,SERVICIO ESCOSERRA EL TREBOL,AC1 CULIACAN,41.657,22.98
